date,meter,chargers,building,cap,abovecap,control
2018-06-12 10:44,298,0,298,320,298,22
2018-06-12 10:45,301,0,301,320,301,19
2018-06-12 10:46,283,0,283,320,283,37
2018-06-12 10:47,297,0,297,320,297,23
2018-06-12 10:48,286,0,286,320,286,34
2018-06-12 10:49,292,0,292,320,292,28
2018-06-12 10:50,301,0,301,320,301,19
2018-06-12 10:51,292,0,292,320,292,28
2018-06-12 10:52,238,0,238,320,238,60
2018-06-12 10:53,253,0,253,320,253,60
2018-06-12 10:54,252,0,252,320,252,60
2018-06-12 10:55,226,0,226,320,226,60
2018-06-12 10:56,236,0,236,320,236,60
2018-06-12 10:57,244,0,244,320,244,60
2018-06-12 10:58,257,0,257,320,257,60
2018-06-12 10:59,235,0,235,320,235,60
2018-06-12 11:00,248,0,248,320,248,60
2018-06-12 11:01,227,0,227,320,227,60
2018-06-12 11:02,232,0,232,320,232,60
2018-06-12 11:03,235,0,235,320,235,60
2018-06-12 11:04,285,0,285,320,285,35
2018-06-12 11:05,277,0,277,320,277,43
2018-06-12 11:06,277,0,277,320,277,43
2018-06-12 11:07,318,0,318,320,318,2
2018-06-12 11:08,317,0,317,320,317,3
2018-06-12 11:09,328,0,328,320,320,0
2018-06-12 11:10,326,0,326,320,320,0
2018-06-12 11:11,322,0,322,320,320,0
2018-06-12 11:12,323,0,323,320,320,0
2018-06-12 11:13,313,7,306,320,313,7
2018-06-12 11:14,293,27,266,320,293,27
2018-06-12 11:15,290,30,260,340,290,50
2018-06-12 11:16,308,30,278,340,308,32
2018-06-12 11:17,282,30,252,340,282,58
2018-06-12 11:18,272,30,242,340,272,60
2018-06-12 11:19,230,30,200,340,230,60
2018-06-12 11:20,264,30,234,340,264,60
2018-06-12 11:21,249,30,219,340,249,60
2018-06-12 11:22,239,30,209,340,239,60
2018-06-12 11:23,262,30,232,340,262,60
2018-06-12 11:24,267,30,237,340,267,60
2018-06-12 11:25,228,30,198,340,228,60
2018-06-12 11:26,252,30,222,340,252,60
2018-06-12 11:27,261,30,231,340,261,60
2018-06-12 11:28,266,30,236,340,266,60
2018-06-12 11:29,235,30,205,340,235,60
2018-06-12 11:30,231,60,171,340,231,60
2018-06-12 11:31,243,60,183,340,243,60
2018-06-12 11:32,287,53,234,340,287,53
2018-06-12 11:33,287,53,234,340,287,53
2018-06-12 11:34,304,36,268,340,304,36
2018-06-12 11:35,274,60,214,340,274,60
2018-06-12 11:36,271,60,211,340,271,60
2018-06-12 11:37,315,25,290,340,315,25
2018-06-12 11:38,315,25,291,340,315,25
2018-06-12 11:39,320,20,300,340,320,20
2018-06-12 11:40,357,0,357,340,340,0
2018-06-12 11:41,335,5,330,340,335,5
2018-06-12 11:42,330,10,321,340,330,10
2018-06-12 11:43,326,14,311,340,326,14
2018-06-12 11:44,286,54,233,340,286,54
2018-06-12 11:45,274,60,214,340,274,60
2018-06-12 11:46,287,53,234,340,287,53
2018-06-12 11:47,288,52,235,340,288,52
2018-06-12 11:48,223,60,163,340,223,60
2018-06-12 11:49,231,60,171,340,231,60
2018-06-12 11:50,228,15,213,340,228,60
2018-06-12 11:51,224,15,209,340,224,60
2018-06-12 11:52,250,15,235,340,250,60
2018-06-12 11:53,253,15,238,340,253,60
2018-06-12 11:54,263,15,248,340,263,60
2018-06-12 11:55,253,15,238,340,253,60
2018-06-12 11:56,277,15,262,340,277,60
2018-06-12 11:57,262,15,247,340,262,60
2018-06-12 11:58,258,15,243,340,258,60
2018-06-12 11:59,230,15,215,340,230,60
2018-06-12 12:00,227,15,212,320,227,60
2018-06-12 12:01,265,15,250,320,265,55
2018-06-12 12:02,278,15,263,320,278,42
2018-06-12 12:03,257,15,242,320,257,60
2018-06-12 12:04,234,15,219,320,234,60
2018-06-12 12:05,221,15,206,320,221,60
2018-06-12 12:06,235,15,220,320,235,60
2018-06-12 12:07,283,15,268,320,283,37
2018-06-12 12:08,292,15,277,320,292,28
2018-06-12 12:09,306,14,293,320,306,14
2018-06-12 12:10,297,0,297,320,297,23
2018-06-12 12:11,301,0,301,320,301,19
2018-06-12 12:12,294,0,294,320,294,26
2018-06-12 12:13,281,0,281,320,281,39
2018-06-12 12:14,266,0,266,320,266,54
2018-06-12 12:15,256,0,256,320,256,60
2018-06-12 12:16,261,0,261,320,261,59
2018-06-12 12:17,269,0,269,320,269,51
2018-06-12 12:18,267,0,267,320,267,53
2018-06-12 12:19,284,0,284,320,284,36
2018-06-12 12:20,271,0,271,320,271,49
2018-06-12 12:21,365,0,365,320,320,0
2018-06-12 12:22,367,0,367,320,320,0
2018-06-12 12:23,362,0,362,320,320,0
2018-06-12 12:24,357,0,357,320,320,0
2018-06-12 12:25,340,0,340,320,320,0
2018-06-12 12:26,338,0,338,320,320,0
2018-06-12 12:27,352,0,352,320,320,0
2018-06-12 12:28,334,0,334,320,320,0
2018-06-12 12:29,327,0,327,320,320,0
2018-06-12 12:30,276,0,276,320,276,44
2018-06-12 12:31,283,0,283,320,283,37
2018-06-12 12:33,264,0,264,320,264,56
2018-06-12 12:34,251,0,251,320,251,60
2018-06-12 12:35,250,0,250,320,250,60
2018-06-12 12:36,264,0,264,320,264,56
2018-06-12 12:37,319,0,319,320,319,1
2018-06-12 12:38,301,0,301,320,301,19
2018-06-12 12:39,304,0,304,320,304,16
2018-06-12 12:40,302,18,284,320,302,18
2018-06-12 12:41,289,31,259,320,289,31
2018-06-12 12:42,293,27,265,320,293,27
2018-06-12 12:43,267,53,215,320,267,53
2018-06-12 12:44,259,60,199,320,259,60
2018-06-12 12:45,259,60,199,320,259,60
2018-06-12 12:46,251,60,191,320,251,60
2018-06-12 12:47,266,54,212,320,266,54
2018-06-12 12:48,279,41,237,320,279,41
2018-06-12 12:49,267,53,214,320,267,53
2018-06-12 12:50,266,54,212,320,266,54
2018-06-12 12:51,272,48,225,320,272,48
2018-06-12 12:52,297,23,275,320,297,23
2018-06-12 12:53,325,0,325,320,320,0
2018-06-12 12:54,361,0,361,320,320,0
2018-06-12 12:55,357,0,357,320,320,0
2018-06-12 12:56,335,0,335,320,320,0
2018-06-12 12:57,354,0,354,320,320,0
2018-06-12 12:58,346,0,346,320,320,0
2018-06-12 12:59,314,6,309,320,314,6
2018-06-12 13:00,319,41,278,360,319,41
2018-06-12 13:01,311,45,266,360,311,49
2018-06-12 13:02,327,33,294,360,327,33
2018-06-12 13:03,306,45,261,360,306,54
2018-06-12 13:04,278,45,233,360,278,60
2018-06-12 13:05,276,45,231,360,276,60
2018-06-12 13:06,306,45,261,360,306,54
2018-06-12 13:07,308,45,263,360,308,52
2018-06-12 13:08,312,45,267,360,312,48
2018-06-12 13:09,305,45,260,360,305,55
2018-06-12 13:10,326,34,293,360,326,34
2018-06-12 13:11,299,45,254,360,299,60
2018-06-12 13:12,305,45,260,360,305,55
2018-06-12 13:13,280,45,235,360,280,60
2018-06-12 13:14,260,45,215,360,260,60
2018-06-12 13:15,217,45,172,360,217,60
2018-06-12 13:16,203,45,158,360,203,60
2018-06-12 13:17,241,45,196,360,241,60
2018-06-12 13:18,212,45,167,360,212,60
2018-06-12 13:20,215,45,170,360,215,60
2018-06-12 13:22,253,45,208,360,253,60
2018-06-12 13:23,273,45,228,360,273,60
2018-06-12 13:24,245,45,200,360,245,60
2018-06-12 13:25,247,45,202,360,247,60
2018-06-12 13:26,242,45,197,360,242,60
2018-06-12 13:27,264,45,219,360,264,60
2018-06-12 13:28,296,45,251,360,296,60
2018-06-12 13:29,289,45,244,360,289,60
2018-06-12 13:30,284,45,239,360,284,60
2018-06-12 13:31,278,45,233,360,278,60
2018-06-12 13:32,276,45,231,360,276,60
2018-06-12 13:33,278,45,233,360,278,60
2018-06-12 13:34,321,39,282,360,321,39
2018-06-12 13:35,287,45,242,360,287,60
2018-06-12 13:36,280,45,235,360,280,60
2018-06-12 13:37,301,45,256,360,301,59
2018-06-12 13:38,304,45,259,360,304,56
2018-06-12 13:39,290,45,245,360,290,60
2018-06-12 13:40,289,30,259,360,289,60
2018-06-12 13:41,284,30,254,360,284,60
2018-06-12 13:42,283,30,253,360,283,60
2018-06-12 13:43,224,30,194,360,224,60
2018-06-12 13:44,218,30,188,360,218,60
2018-06-12 13:45,213,30,183,360,213,60
2018-06-12 13:46,223,30,193,360,223,60
2018-06-12 13:47,227,30,197,360,227,60
2018-06-12 13:48,226,30,196,360,226,60
2018-06-12 13:49,232,30,202,360,232,60
2018-06-12 13:50,223,30,193,360,223,60
2018-06-12 13:51,252,30,222,360,252,60
2018-06-12 13:52,244,30,214,360,244,60
2018-06-12 13:53,238,30,208,360,238,60
2018-06-12 13:54,247,30,217,360,247,60
2018-06-12 13:55,291,30,261,360,291,60
2018-06-12 13:56,307,30,277,360,307,53
2018-06-12 13:57,307,30,277,360,307,53
2018-06-12 13:58,320,30,290,360,320,40
2018-06-12 13:59,299,30,269,360,299,60
2018-06-12 14:00,291,15,276,360,291,60
2018-06-12 14:01,300,15,285,360,300,60
2018-06-12 14:02,292,15,277,360,292,60
2018-06-12 14:03,291,15,276,360,291,60
2018-06-12 14:04,289,15,274,360,289,60
2018-06-12 14:05,274,15,259,360,274,60
2018-06-12 14:07,306,15,291,360,306,54
2018-06-12 14:08,310,15,295,360,310,50
2018-06-12 14:09,304,15,289,360,304,56
2018-06-12 14:10,241,15,226,360,241,60
2018-06-12 14:11,237,15,222,360,237,60
2018-06-12 14:12,235,15,220,360,235,60
2018-06-12 14:13,218,15,203,360,218,60
2018-06-12 14:14,250,15,235,360,250,60
2018-06-12 14:15,227,15,212,340,227,60
2018-06-12 14:16,232,15,217,340,232,60
2018-06-12 14:17,235,15,220,340,235,60
2018-06-12 14:18,231,15,216,340,231,60
2018-06-12 14:19,239,15,224,340,239,60
2018-06-12 14:20,218,15,203,340,218,60
2018-06-12 14:21,223,15,208,340,223,60
2018-06-12 14:22,291,15,276,340,291,49
2018-06-12 14:23,287,15,272,340,287,53
2018-06-12 14:24,274,15,259,340,274,60
2018-06-12 14:25,286,15,271,340,286,54
2018-06-12 14:26,307,15,292,340,307,33
2018-06-12 14:27,301,15,286,340,301,39
2018-06-12 14:28,274,15,259,340,274,60
2018-06-12 14:29,275,15,260,340,275,60
2018-06-12 14:30,294,15,279,320,294,26
2018-06-12 14:31,251,15,236,320,251,60
2018-06-12 14:32,249,15,234,320,249,60
2018-06-12 14:33,247,15,232,320,247,60
2018-06-12 14:34,237,15,222,320,237,60
2018-06-12 14:35,241,15,226,320,241,60
2018-06-12 14:36,282,15,267,320,282,38
2018-06-12 14:37,279,15,264,320,279,41
2018-06-12 14:38,287,15,272,320,287,33
2018-06-12 14:39,303,15,288,320,303,17
2018-06-12 14:40,308,12,297,320,308,12
2018-06-12 14:41,298,22,277,320,298,22
2018-06-12 14:42,293,27,265,320,293,27
2018-06-12 14:43,324,0,324,320,320,0
2018-06-12 14:44,314,6,308,320,314,6
2018-06-12 14:45,317,0,317,280,280,0
2018-06-12 14:46,322,0,322,280,280,0
2018-06-12 14:47,331,0,331,280,280,0
2018-06-12 14:48,330,0,330,280,280,0
2018-06-12 14:49,332,0,332,280,280,0
2018-06-12 14:50,325,0,325,280,280,0
2018-06-12 14:51,355,0,355,280,280,0
2018-06-12 14:52,307,0,307,280,280,0
2018-06-12 14:53,330,0,330,280,280,0
2018-06-12 14:54,319,0,319,280,280,0
2018-06-12 14:55,298,0,298,280,280,0
2018-06-12 14:56,300,0,300,280,280,0
2018-06-12 14:57,312,0,312,280,280,0
2018-06-12 14:58,284,0,284,280,280,0
2018-06-12 14:59,275,5,271,280,275,5
2018-06-12 15:00,286,45,241,340,286,54
2018-06-12 15:01,291,45,246,340,291,49
2018-06-12 15:02,286,45,241,340,286,54
2018-06-12 15:03,288,45,243,340,288,52
2018-06-12 15:04,278,45,233,340,278,60
2018-06-12 15:05,230,45,185,340,230,60
2018-06-12 15:06,274,45,229,340,274,60
2018-06-12 15:07,259,45,214,340,259,60
2018-06-12 15:08,254,45,209,340,254,60
2018-06-12 15:09,256,45,211,340,256,60
2018-06-12 15:10,276,15,261,340,276,60
2018-06-12 15:11,245,15,230,340,245,60
2018-06-12 15:12,235,15,220,340,235,60
2018-06-12 15:13,202,15,187,340,202,60
2018-06-12 15:14,190,15,175,340,190,60
2018-06-12 15:15,192,15,177,280,192,60
2018-06-12 15:16,200,15,185,280,200,60
2018-06-12 15:17,249,15,234,280,249,31
2018-06-12 15:18,273,7,266,280,273,7
2018-06-12 15:19,251,15,236,280,251,29
2018-06-12 15:20,261,19,241,280,261,19
2018-06-12 15:21,300,0,300,280,280,0
2018-06-12 15:22,314,0,314,280,280,0
2018-06-12 15:23,310,0,310,280,280,0
2018-06-12 15:24,306,0,306,280,280,0
2018-06-12 15:25,295,0,295,280,280,0
2018-06-12 15:26,305,0,305,280,280,0
2018-06-12 15:27,307,0,307,280,280,0
2018-06-12 15:28,282,0,282,280,280,0
2018-06-12 15:29,289,0,289,280,280,0
2018-06-12 15:30,283,0,283,280,280,0
2018-06-12 15:31,247,30,217,280,247,33
2018-06-12 15:32,229,30,199,280,229,51
2018-06-12 15:33,226,30,196,280,226,54
2018-06-12 15:34,240,30,210,280,240,41
2018-06-12 15:35,235,30,205,280,235,45
2018-06-12 15:36,256,24,231,280,256,24
2018-06-12 15:37,263,17,245,280,263,17
2018-06-12 15:38,262,18,244,280,262,18
2018-06-12 15:40,255,25,230,280,255,25
2018-06-12 15:41,254,26,228,280,254,26
2018-06-12 15:42,254,26,227,280,254,26
2018-06-12 15:43,235,30,205,280,235,45
2018-06-12 15:44,290,0,290,280,280,0
2018-06-12 15:45,292,0,292,280,280,0
2018-06-12 15:47,295,0,295,280,280,0
2018-06-12 15:48,276,4,271,280,276,4
2018-06-12 15:49,275,5,269,280,275,5
2018-06-12 15:50,282,0,282,280,280,0
2018-06-12 15:51,278,2,275,280,278,2
2018-06-12 15:52,313,0,313,280,280,0
2018-06-12 15:53,307,0,307,280,280,0
2018-06-12 15:54,302,0,302,280,280,0
2018-06-12 15:55,299,0,299,280,280,0
2018-06-12 15:56,299,0,299,280,280,0
2018-06-12 15:57,363,0,363,280,280,0
2018-06-12 15:58,222,45,177,280,222,58
2018-06-12 15:59,222,45,177,280,222,58
2018-06-12 16:00,220,45,175,280,220,60
2018-06-12 16:01,219,45,174,280,219,60
2018-06-12 16:02,218,45,173,280,218,60
2018-06-12 16:03,207,45,162,280,207,60
2018-06-12 16:04,202,45,157,280,202,60
2018-06-12 16:05,198,45,153,280,198,60
2018-06-12 16:06,207,45,162,280,207,60
2018-06-12 16:07,231,45,186,280,231,49
2018-06-12 16:08,227,45,182,280,227,53
2018-06-12 16:09,234,45,189,280,234,46
2018-06-12 16:10,240,40,200,280,240,40
2018-06-12 16:11,277,3,274,280,277,3
2018-06-12 16:12,258,22,236,280,258,22
2018-06-12 16:13,274,6,268,280,274,6
2018-06-12 16:14,244,36,208,280,244,36
2018-06-12 16:15,253,27,226,280,253,27
2018-06-12 16:16,250,30,220,280,250,30
2018-06-12 16:17,254,26,229,280,254,26
2018-06-12 16:18,243,37,207,280,243,37
2018-06-12 16:19,243,37,206,280,243,37
2018-06-12 16:20,250,30,221,280,250,30
2018-06-12 16:21,250,30,220,280,250,30
2018-06-12 16:22,299,0,299,280,280,0
2018-06-12 16:23,289,0,289,280,280,0
2018-06-12 16:24,277,3,273,280,277,3
2018-06-12 16:25,279,1,279,280,279,1
2018-06-12 16:26,289,0,289,280,280,0
2018-06-12 16:27,290,0,290,280,280,0
2018-06-12 16:28,254,26,228,280,254,26
2018-06-12 16:29,277,3,274,280,277,3
2018-06-12 16:30,251,29,222,280,251,29
2018-06-12 16:31,247,30,217,280,247,33
2018-06-12 16:32,230,30,200,280,230,50
2018-06-12 16:33,224,30,194,280,224,56
2018-06-12 16:34,224,30,194,280,224,56
2018-06-12 16:35,265,15,251,280,265,15
2018-06-12 16:36,349,0,349,280,280,0
2018-06-12 16:37,348,0,348,280,280,0
2018-06-12 16:38,347,0,347,280,280,0
2018-06-12 16:39,345,0,345,280,280,0
2018-06-12 16:40,342,0,342,280,280,0
2018-06-12 16:41,334,0,334,280,280,0
2018-06-12 16:42,328,0,328,280,280,0
2018-06-12 16:43,306,0,306,280,280,0
2018-06-12 16:44,264,16,248,280,264,16
2018-06-12 16:45,249,30,219,320,249,60
2018-06-12 16:46,254,30,224,320,254,60
2018-06-12 16:47,250,30,220,320,250,60
2018-06-12 16:48,254,30,224,320,254,60
2018-06-12 16:49,241,30,211,320,241,60
2018-06-12 16:50,250,30,220,320,250,60
2018-06-12 16:51,277,30,247,320,277,43
2018-06-12 16:52,281,30,251,320,281,39
2018-06-12 16:53,271,30,241,320,271,49
2018-06-12 16:54,276,30,246,320,276,44
2018-06-12 16:55,275,30,245,320,275,45
2018-06-12 16:56,284,30,254,320,284,36
2018-06-12 16:57,288,30,258,320,288,32
2018-06-12 16:58,252,30,222,320,252,60
2018-06-12 16:59,248,30,218,320,248,60
2018-06-12 17:00,279,41,239,320,279,41
2018-06-12 17:01,256,60,196,320,256,60
2018-06-12 17:02,226,60,166,320,226,60
2018-06-12 17:03,214,60,154,320,214,60
2018-06-12 17:04,225,60,165,320,225,60
2018-06-12 17:06,260,60,200,320,260,60
2018-06-12 17:07,267,53,215,320,267,53
2018-06-12 17:08,259,60,199,320,259,60
2018-06-12 17:09,260,60,200,320,260,60
2018-06-12 17:10,253,60,193,320,253,60
2018-06-12 17:11,281,39,242,320,281,39
2018-06-12 17:12,269,51,218,320,269,51
2018-06-12 17:13,251,60,191,320,251,60
2018-06-12 17:14,248,60,188,320,248,60
2018-06-12 17:15,257,60,197,360,257,60
2018-06-12 17:16,253,60,193,360,253,60
2018-06-12 17:17,303,57,246,360,303,57
2018-06-12 17:18,308,52,256,360,308,52
2018-06-12 17:19,307,53,255,360,307,53
2018-06-12 17:21,344,16,328,360,344,16
2018-06-12 17:22,353,7,345,360,353,7
2018-06-12 17:23,346,14,333,360,346,14
2018-06-12 17:24,334,26,308,360,334,26
2018-06-12 17:25,372,0,372,360,360,0
2018-06-12 17:26,312,48,263,360,312,48
2018-06-12 17:27,307,53,254,360,307,53
2018-06-12 17:28,267,60,207,360,267,60
2018-06-12 17:29,255,60,195,360,255,60
2018-06-12 17:30,258,60,198,360,258,60
2018-06-12 17:31,264,60,204,360,264,60
2018-06-12 17:32,272,60,212,360,272,60
2018-06-12 17:33,257,60,197,360,257,60
2018-06-12 17:34,255,60,195,360,255,60
2018-06-12 17:35,268,60,208,360,268,60
2018-06-12 17:36,266,60,206,360,266,60
2018-06-12 17:37,232,60,172,360,232,60
2018-06-12 17:38,231,60,171,360,231,60
2018-06-12 17:39,235,60,175,360,235,60
2018-06-12 17:41,250,60,190,360,250,60
2018-06-12 17:42,234,60,174,360,234,60
2018-06-12 17:43,177,60,117,360,177,60
2018-06-12 17:44,181,60,121,360,181,60
2018-06-12 17:45,186,60,126,300,186,60
2018-06-12 17:46,184,60,124,300,184,60
2018-06-12 17:47,181,60,121,300,181,60
2018-06-12 17:48,179,60,119,300,179,60
2018-06-12 17:49,177,60,117,300,177,60
2018-06-12 17:50,187,45,142,300,187,60
2018-06-12 17:51,264,36,229,300,264,36
2018-06-12 17:52,275,25,249,300,275,25
2018-06-12 17:53,277,23,254,300,277,23
2018-06-12 17:54,279,21,258,300,279,21
2018-06-12 17:55,290,10,280,300,290,10
2018-06-12 17:56,291,9,281,300,291,9
2018-06-12 17:57,278,22,255,300,278,22
2018-06-12 17:58,250,45,205,300,250,50
2018-06-12 17:59,255,45,211,300,255,45
2018-06-12 18:00,267,30,237,300,267,33
2018-06-12 18:01,281,19,263,300,281,19
2018-06-12 18:02,262,30,232,300,262,38
2018-06-12 18:03,268,30,238,300,268,32
2018-06-12 18:04,217,30,187,300,217,60
2018-06-12 18:05,215,30,185,300,215,60
2018-06-12 18:06,221,30,191,300,221,60
2018-06-12 18:07,249,30,219,300,249,51
2018-06-12 18:08,219,30,189,300,219,60
2018-06-12 18:09,223,30,193,300,223,60
2018-06-12 18:10,224,0,224,300,224,60
2018-06-12 18:11,238,0,238,300,238,60
2018-06-12 18:12,191,0,191,300,191,60
2018-06-12 18:13,196,0,196,300,196,60
2018-06-12 18:14,194,0,194,300,194,60
2018-06-12 18:15,204,0,204,280,204,60
2018-06-12 18:16,203,0,203,280,203,60
2018-06-12 18:17,213,0,213,280,213,60
2018-06-12 18:18,253,0,253,280,253,27
2018-06-12 18:19,235,0,235,280,235,45
2018-06-12 18:21,273,7,265,280,273,7
2018-06-12 18:22,264,16,248,280,264,16
2018-06-12 18:23,255,25,229,280,255,25
2018-06-12 18:24,261,19,242,280,261,19
2018-06-12 18:25,275,5,270,280,275,5
2018-06-12 18:26,267,13,254,280,267,13
2018-06-12 18:27,262,18,244,280,262,18
2018-06-12 18:28,255,25,230,280,255,25
2018-06-12 18:29,256,24,231,280,256,24
2018-06-12 18:30,267,0,267,280,267,13
2018-06-12 18:31,204,0,204,280,204,60
2018-06-12 18:33,197,0,197,280,197,60
2018-06-12 18:34,196,0,196,280,196,60
2018-06-12 18:35,217,0,217,280,217,60
2018-06-12 18:36,220,0,220,280,220,60
2018-06-12 18:37,215,0,215,280,215,60
2018-06-12 18:38,220,0,220,280,220,60
2018-06-12 18:39,211,0,211,280,211,60
2018-06-12 18:41,241,0,241,280,241,39
2018-06-12 18:42,188,0,188,280,188,60
2018-06-12 18:43,205,0,205,280,205,60
2018-06-12 18:44,188,0,188,280,188,60
2018-06-12 18:45,199,0,199,280,199,60
2018-06-12 18:46,254,0,254,280,254,26
2018-06-12 18:47,259,0,259,280,259,21
2018-06-12 18:48,253,0,253,280,253,27
2018-06-12 18:49,254,0,254,280,254,26
2018-06-12 18:50,261,0,261,280,261,19
2018-06-12 18:51,287,0,287,280,280,0
2018-06-12 18:52,276,0,276,280,276,4
2018-06-12 18:53,270,0,270,280,270,10
2018-06-12 18:54,269,0,269,280,269,11
2018-06-12 18:55,287,0,287,280,280,0
2018-06-12 18:56,292,0,292,280,280,0
2018-06-12 18:57,251,0,251,280,251,29
2018-06-12 18:58,232,0,232,280,232,48
2018-06-12 18:59,181,0,181,280,181,60
2018-06-12 19:00,198,0,198,360,198,60
2018-06-12 19:01,194,0,194,360,194,60
2018-06-12 19:02,186,0,186,360,186,60
2018-06-12 19:03,183,0,183,360,183,60
2018-06-12 19:04,190,0,190,360,190,60
2018-06-12 19:05,192,0,192,360,192,60
2018-06-12 19:06,216,0,216,360,216,60
2018-06-12 19:07,237,0,237,360,237,60
2018-06-12 19:08,228,0,228,360,228,60
2018-06-12 19:09,229,0,229,360,229,60
2018-06-12 19:10,219,0,219,360,219,60
2018-06-12 19:11,218,0,218,360,218,60
2018-06-12 19:12,181,0,181,360,181,60
2018-06-12 19:13,179,0,179,360,179,60
2018-06-12 19:14,227,0,227,360,227,60
2018-06-12 19:15,224,0,224,360,224,60
2018-06-12 19:16,228,0,228,360,228,60
2018-06-12 19:17,229,0,229,360,229,60
2018-06-12 19:18,232,0,232,360,232,60
2018-06-12 19:19,238,0,238,360,238,60
2018-06-12 19:20,234,0,234,360,234,60
2018-06-12 19:21,276,0,276,360,276,60
2018-06-12 19:22,240,0,240,360,240,60
2018-06-12 19:23,221,0,221,360,221,60
2018-06-12 19:24,241,0,241,360,241,60
2018-06-12 19:25,228,0,228,360,228,60
2018-06-12 19:26,233,0,233,360,233,60
2018-06-12 19:27,208,0,208,360,208,60
2018-06-12 19:28,207,0,207,360,207,60
2018-06-12 19:29,226,0,226,360,226,60
2018-06-12 19:30,227,30,197,340,227,60
2018-06-12 19:31,243,30,213,340,243,60
2018-06-12 19:32,225,30,195,340,225,60
2018-06-12 19:33,229,30,199,340,229,60
2018-06-12 19:34,247,30,217,340,247,60
2018-06-12 19:35,224,30,194,340,224,60
2018-06-12 19:36,257,30,227,340,257,60
2018-06-12 19:37,276,30,246,340,276,60
2018-06-12 19:38,253,30,223,340,253,60
2018-06-12 19:39,255,30,225,340,255,60
2018-06-12 19:40,262,30,232,340,262,60
2018-06-12 19:41,263,30,233,340,263,60
2018-06-12 19:42,225,30,195,340,225,60
2018-06-12 19:43,223,30,193,340,223,60
2018-06-12 19:44,232,30,202,340,232,60
2018-06-12 19:45,227,30,197,340,227,60
2018-06-12 19:46,278,30,248,340,278,60
2018-06-12 19:47,297,30,267,340,297,43
2018-06-12 19:48,291,30,261,340,291,49
2018-06-12 19:49,301,30,271,340,301,39
2018-06-12 19:50,322,18,304,340,322,18
2018-06-12 19:51,329,11,318,340,329,11
2018-06-12 19:52,297,43,254,340,297,43
2018-06-12 19:53,299,41,257,340,299,41
2018-06-12 19:54,244,60,184,340,244,60
2018-06-12 19:55,235,60,175,340,235,60
2018-06-12 19:56,237,60,177,340,237,60
2018-06-12 19:57,213,60,153,340,213,60
2018-06-12 19:58,208,60,148,340,208,60
2018-06-12 19:59,210,60,150,340,210,60
2018-06-12 20:00,222,60,162,340,222,60
2018-06-12 20:01,235,60,175,340,235,60
2018-06-12 20:02,217,60,157,340,217,60
2018-06-12 20:03,243,60,183,340,243,60
2018-06-12 20:04,223,60,163,340,223,60
2018-06-12 20:05,249,60,189,340,249,60
2018-06-12 20:06,246,60,186,340,246,60
2018-06-12 20:07,248,60,188,340,248,60
2018-06-12 20:08,249,60,189,340,249,60
2018-06-12 20:09,258,60,198,340,258,60
2018-06-12 20:10,254,15,239,340,254,60
2018-06-12 20:11,245,15,230,340,245,60
2018-06-12 20:12,231,15,216,340,231,60
2018-06-12 20:13,224,15,209,340,224,60
2018-06-12 20:14,208,15,193,340,208,60
2018-06-12 20:15,222,15,207,340,222,60
2018-06-12 20:17,218,15,203,340,218,60
2018-06-12 20:18,224,15,209,340,224,60
